,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
1711,Christopher Trimmel,Union Berlin, 35, D(CR),M(R),,10(3),927,-,2,1,-,0.5,64.9,0.5,-,6.54
1712,Naouirou Ahamada,Stuttgart, 20, M(C),,,15,1241,2,-,2,-,1,85.4,0.5,-,6.54
1713,Omar Marmoush,Wolfsburg, 23, AM(L),FW,,8(7),689,2,-,2,-,1.6,64.6,1.9,-,6.54
1714,Kiliann Sildillia,Freiburg, 20, D(R),,,13(1),1160,-,2,2,-,0.4,75.1,1.6,-,6.54
1715,Jonathan Tah,Leverkusen, 26, D(C),,,14(1),1221,1,-,4,-,0.4,89.3,1.7,-,6.54
1716,Péter Gulácsi,RBL, 32, GK,,,6,540,-,-,-,-,-,85.4,-,-,6.54
1717,Kristijan Jakic,Eintracht Frankfurt, 25, D(CR),DMC,,12(2),1011,1,-,1,-,0.4,77.2,1.1,-,6.53
1718,Serhou Guirassy,Stuttgart, 26, AM(L),FW,,9(1),780,4,-,1,1,2,66.5,2.4,-,6.53
1719,Marvin Friedrich,Borussia M.Gladbach, 27, D(C),,,10(4),961,1,-,1,-,0.5,85.8,2.1,-,6.53
1720,Salih Özcan,Borussia Dortmund, 25, M(C),,,11(1),889,-,1,4,-,0.1,87.8,0.7,-,6.53
1721,Jonas Wind,Wolfsburg, 23, AM(C),FW,,1(5),169,1,-,-,-,1,69.5,2.2,-,6.52
1722,Felix Uduokhai,Augsburg, 25, D(C),,,4(3),433,-,1,-,-,-,73.3,2.4,-,6.52
1723,Philipp Förster,Bochum, 27, M(CLR),FW,,8(4),655,1,2,1,-,0.8,79.8,0.4,1,6.52
1724,Stevan Jovetic,Hertha Berlin, 33, AM(CL),FW,,4(4),397,1,2,-,-,1.5,61.8,1.3,-,6.52
1725,Christoph Kramer,Borussia M.Gladbach, 31, M(C),,,14,1187,-,-,3,-,0.3,83.5,0.9,-,6.52
1726,Leonardo Bittencourt,Werder Bremen, 29, M(CLR),FW,,8(2),578,2,-,3,-,0.7,76.4,0.1,-,6.52
1727,Anthony Losilla,Bochum, 36, D(C),DMC,,15,1330,-,-,3,-,0.7,71.2,2.7,-,6.52
1728,Edmond Tapsoba,Leverkusen, 23, D(C),,,15,1314,-,-,2,-,0.3,86.4,1.3,1,6.52
