,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
2289,Wout Faes,Reims, 24, D(C),,,3,270,-,-,2,-,-,83.3,1.3,-,6.37
2290,Bamba Dieng,Marseille, 22, AM(L),FW,,1(9),188,1,-,1,-,1.1,61.9,0.9,1,6.37
2291,Mathieu Coutadeur,AC Ajaccio, 36, M(C),,,11(3),985,-,-,-,-,0.1,86,0.4,-,6.37
2292,Pierrick Capelle,Angers, 35, D(L),M(CLR),,9(6),798,-,2,7,-,0.7,84.9,0.5,-,6.37
2293,Romain Hamouma,AC Ajaccio, 35, M(CLR),FW,,8(2),598,2,1,1,2,1.1,81.7,0.7,-,6.36
2294,Samuel Moutoussamy,Nantes, 26, M(CL),,,11(5),969,-,1,5,-,1,86.1,0.7,-,6.36
2295,Léo Leroy,Montpellier, 22, DMC,,,6(7),531,-,-,4,-,0.6,76,0.8,-,6.36
2296,Thomas Mangani,AC Ajaccio, 35, M(C),,,7(9),739,1,1,3,-,0.5,73.3,0.9,-,6.36
2297,Romain Faivre,Lyon, 24, AM(CLR),,,3(7),297,-,1,-,-,0.5,92.1,0.2,-,6.36
2298,Moussa Dembélé,Lyon, 26, FW,,,6(8),599,2,-,1,-,1.4,76.9,1.1,-,6.36
2299,Rémy Labeau Lascary,Lens, 19, Forward,,,0(2),36,-,-,-,-,1,88.9,0.5,-,6.36
2300,Maghnes Akliouche,Monaco, 20, Midfielder,,,3(3),249,-,-,3,-,0.2,81.7,0.3,-,6.35
2301,Mitchell van Bergen,Reims, 23, AM(LR),FW,,5(11),608,-,1,1,-,1,75.9,0.1,-,6.35
2302,Mickaël Alphonse,AC Ajaccio, 33, D(LR),,,8(8),769,-,-,1,-,0.4,68.5,1.4,-,6.35
2303,Amine Gouiri,Nice, 22, AM(L),FW,,3,228,-,-,-,-,1.7,78.8,1,-,6.35
2304,Gauthier Gallon,Troyes, 29, GK,,,12,1080,-,-,3,-,-,70.6,0.3,-,6.35
2305,Henrique,Lyon, 28, D(L),M(L),,1(2),127,-,-,-,-,0.3,86.8,1.3,-,6.35
2306,Jim Allevinah,Clermont Foot, 27, M(LR),,,9(8),861,1,-,1,-,0.8,82,0.2,-,6.35
2307,Rémy Descamps,Nantes, 26, GK,,,2,91,-,-,1,-,-,76.5,-,-,6.35
2308,Falaye Sacko,Montpellier, 27, D(CR),M(R),,13(3),1144,-,2,2,-,0.2,81.4,0.3,-,6.34
2309,Amine Salama,Angers, 22, FW,,,7(10),758,3,1,-,-,1.1,77.4,0.5,-,6.34
2310,Pablo Rosario,Nice, 26, D(C),DMC,,9(4),865,-,-,4,-,0.3,90.2,0.5,-,6.34
2311,Ruben Aguilar,Monaco, 29, D(R),M(R),,5(4),418,-,-,1,-,-,79.2,0.2,-,6.34
2312,Dennis Appiah,Nantes, 30, D(CLR),M(R),,9(6),796,-,-,1,-,0.3,75.9,1.1,-,6.34
2313,Marcus Coco,Nantes, 26, M(LR),FW,,3(9),268,1,-,-,-,0.4,76,0.8,-,6.33
2314,Enzo Tchato Mbiayi,Montpellier, 20, D(R),,,8(5),780,1,1,-,-,0.2,74.3,0.9,-,6.33
2315,Yasser Larouci,Troyes, 22, D(L),,,10(6),888,-,-,1,-,0.4,78.9,0.7,-,6.33
2316,Arnaud Souquet,Montpellier, 30, D(CR),M(R),,3(9),355,-,-,1,-,0.1,75.7,0.8,-,6.32
2317,Benoît Costil,Auxerre, 35, GK,,,19,1710,-,-,-,-,-,66.5,0.1,-,6.32
2318,Rubén Blanco,Marseille, 27, GK,,,3,270,-,-,-,-,-,69.9,-,-,6.32
2319,Bonke Innocent,Lorient, 27, DMC,,,9(8),816,-,1,4,-,0.1,88.9,0.4,-,6.32
2320,Mohamed Bayo,Lille, 24, FW,,,3(9),295,3,-,-,-,0.9,61.7,0.5,-,6.31
2321,Gelson Martins,Monaco, 27, M(LR),,,2(5),234,-,-,-,-,1,78.8,0.1,-,6.31
2322,Andreas Bruus,Troyes, 24, D(R),M(R),,9(4),839,-,1,2,-,0.3,71.2,0.1,-,6.31
2323,Lukasz Poreba,Lens, 22, Midfielder,,,3(3),224,-,1,1,-,0.5,86.2,0.3,-,6.31
2324,Jean Onana,Lens, 23, DMC,,,4(6),291,-,-,2,-,0.2,86.7,0.2,-,6.31
2325,Farid El Melali,Angers, 25, AM(R),,,5(4),401,-,-,1,-,0.7,67.5,0.1,-,6.30
2326,Akim Zedadka,Auxerre, 27, D(R),,,4,316,-,-,-,-,0.3,76.2,1.5,-,6.30
2327,Adil Rami,Troyes, 37, D(C),,,5(2),537,-,-,1,-,0.6,84.9,1.4,-,6.30
2328,Benjamin Leroy,AC Ajaccio, 33, GK,,,18,1539,-,-,-,-,-,55.7,0.1,1,6.29
2329,Valère Germain,Montpellier, 32, AM(CLR),FW,,3(14),408,2,-,-,1,0.8,73.2,1.6,-,6.29
2330,Stephy Mavididi,Montpellier, 24, AM(LR),FW,,8(1),572,-,-,-,1,1.4,76.9,0.2,-,6.29
2331,Gabriel Gudmundsson,Lille, 23, D(L),M(LR),,1(4),105,-,-,-,-,0.2,75.8,0.2,-,6.28
2332,M'Baye Niang,Auxerre, 28, AM(LR),FW,,11(3),898,3,-,2,2,1.4,64.5,3.6,-,6.28
2333,Steven Fortès,Lens, 30, D(C),,,0(1),6,-,-,-,-,-,33.3,1,-,6.28
2334,Myron Boadu,Monaco, 22, FW,,,0(4),55,1,-,-,-,0.3,33.3,0.8,-,6.28
2335,Yanis Cimignani,AC Ajaccio, 20, Midfielder,,,3(5),276,-,-,-,-,0.8,69.9,-,-,6.27
2336,Kenji-Van Boto,Auxerre, 26, Defender,,,1,90,-,-,-,-,1,80.8,1,-,6.27
2337,Malang Sarr,Monaco, 23, D(CL),,,4(5),353,-,-,2,-,-,88,0.9,-,6.27
2338,Florent Ogier,Clermont Foot, 33, D(C),,,8(3),761,-,1,2,-,0.2,84.8,1.4,-,6.27
2339,Julian Jeanvier,Auxerre, 30, D(C),,,13,1088,1,-,2,1,0.5,87.2,0.8,-,6.27
2340,Dogan Alemdar,Rennes, 20, GK,,,2(1),225,-,-,-,-,-,67.2,0.7,-,6.26
2341,Sébastien Corchia,Nantes, 32, D(R),M(R),,3(14),513,-,1,2,-,0.1,73.9,0.4,-,6.26
2342,Rares Ilie,Nice, 19, Midfielder,,,2(2),149,-,-,-,-,1,79.7,0.5,-,6.26
2343,Lois Diony,Angers, 30, AM(L),FW,,5(3),437,1,-,1,-,1.3,79.1,2.3,-,6.26
2344,Cédric Hountondji,Angers, 29, D(C),,,19,1698,-,-,4,-,0.3,87.5,1.3,-,6.26
2345,Ismaël Diallo,AC Ajaccio, 25, D(L),,,14(2),1261,-,-,4,-,0.1,76.9,0.8,-,6.26
2346,Marcin Bulka,Nice, 23, GK,,,2,180,-,-,-,-,-,76.8,-,-,6.26
2347,Pablo Sarabia,PSG, 30, D(L),M(CLR),FW,3(11),364,-,-,1,-,0.4,82.8,-,-,6.25
2348,Birger Meling,Rennes, 28, D(LR),DMC,,3(10),423,-,-,1,1,-,87,0.6,-,6.25
2349,Alexis Claude-Maurice,Nice, 24, AM(CL),,,1(1),64,-,-,-,-,1,83.3,1,-,6.25
2350,Mamadou Sakho,Montpellier, 32, D(C),,,5(4),500,1,-,1,-,0.3,85.2,1.8,-,6.25
2351,Oliver Zandén,Toulouse, 21, Defender,,,1(4),143,-,-,-,-,0.4,68.5,0.4,-,6.25
2352,Clément Vidal,AC Ajaccio, 22, D(C),,,7(4),666,-,-,1,1,0.6,78.7,2.3,-,6.24
2353,Iké Ugbo,Troyes, 24, FW,,,5(9),402,1,1,-,-,0.6,70.8,0.2,-,6.24
2354,Nordine Kandil,Strasbourg, 21, Midfielder,,,0(3),36,-,-,-,-,0.3,65.2,1,-,6.24
2355,Ibrahima Koné,Lorient, 23, FW,,,2(16),372,2,1,2,-,0.2,61.1,1.4,-,6.24
2356,Ismail Jakobs,Monaco, 23, D(L),M(L),,4(12),471,-,2,1,-,0.3,73.2,0.8,-,6.24
2357,Islam Slimani,Brest, 34, FW,,,11(4),964,1,1,5,-,1,72.4,1.5,-,6.24
2358,Achraf Dari,Brest, 23, D(C),,,8(2),720,1,-,1,-,0.4,81.6,2,-,6.24
2359,Khalil Fayad,Montpellier, 18, Midfielder,,,4(6),338,-,1,-,1,0.4,82.5,0.2,-,6.24
2360,Arial Mendy,Clermont Foot, 28, D(L),,,1(4),218,-,-,-,-,0.4,73.1,1,-,6.23
2361,Lorenz Assignon,Rennes, 22, D(R),,,2(4),193,-,1,2,-,0.5,84.4,0.3,-,6.23
2362,Gauthier Hein,Auxerre, 26, AM(R),,,9(9),794,1,-,-,-,0.7,89,0.1,-,6.23
2363,Joe Bryan,Nice, 29, D(L),M(CL),,2(3),166,-,-,2,-,0.2,80.2,-,-,6.23
2364,Alexis Beka Beka,Nice, 21, DMC,,,3(5),275,-,-,1,-,0.4,83.4,0.1,-,6.22
2365,Matthis Abline,Rennes, 19, Forward,,,0(11),97,1,-,-,-,0.5,53.8,0.1,-,6.22
2366,Dion Lopy,Reims, 20, DMC,,,8(6),640,-,-,2,2,0.4,83.7,0.6,-,6.22
2367,Abdallah Sima,Angers, 21, AM(R),FW,,9(7),845,1,-,-,-,1.2,75.6,1.6,-,6.22
2368,Cheick Keita,Reims, 19, Defender,,,1(1),121,-,-,1,-,-,88.9,1,-,6.22
2369,Lebo Mothiba,Strasbourg, 26, FW,,,0(9),179,2,-,-,-,0.6,77.8,0.2,-,6.21
2370,Youssouf M'Changama,Auxerre, 32, M(C),,,4(11),492,-,-,-,-,0.6,86.8,0.3,-,6.21
2371,Abdoulaye Bamba,Angers, 32, D(LR),M(R),,4(5),552,-,-,2,-,-,84.5,0.7,-,6.21
2372,Cédric Avinel,AC Ajaccio, 36, D(C),,,8(2),741,1,-,1,1,0.2,84.3,1.3,1,6.21
2373,Gerzino Nyamsi,Strasbourg, 25, D(C),,,12,974,-,-,3,1,0.4,86.3,1.8,-,6.21
2374,Ismaël Boura,Lens, 22, M(L),,,0(7),62,-,-,-,-,0.3,78.8,-,-,6.21
2375,Jonas Martin,Lille, 32, M(CL),,,1(7),158,-,-,2,-,-,86,0.9,-,6.20
2376,Gaëtan Charbonnier,Auxerre, 34, AM(C),FW,,3(3),253,1,-,1,-,1.2,89.7,0.5,-,6.20
2377,Serhou Guirassy,Rennes, 26, AM(L),FW,,0(1),22,-,-,-,-,2,100,-,-,6.20
2378,Fábio,Nantes, 32, D(LR),M(R),,3(3),225,-,-,1,1,0.5,76.4,0.7,1,6.20
2379,Ibrahim Amadou,Angers, 29, D(C),DMC,,4(2),400,-,-,2,-,0.3,87.4,1,-,6.20
2380,Rayan Raveloson,Auxerre, 26, DMC,,,10(6),910,-,-,-,-,0.8,86.2,0.6,-,6.20
2381,Karol Fila,Strasbourg, 24, D(R),,,0(2),46,-,-,-,-,0.5,86.1,-,-,6.19
2382,Carlos Baleba,Lille, 19, Midfielder,,,2(6),201,-,-,2,1,0.5,82.5,0.1,-,6.19
2383,Ibrahima Sissoko,Strasbourg, 25, D(C),DMC,,3(6),320,-,-,-,-,0.4,75,1,-,6.18
2384,Souleymane Cissé,Clermont Foot, 20, Defender,,,0(1),3,-,-,-,-,-,-,1,-,6.18
2385,Sada Thioub,Angers, 27, M(LR),,,4(12),450,-,1,2,-,0.4,83.7,0.1,-,6.18
2386,Gaël Kakuta,Lens, 31, M(CLR),FW,,0(2),20,-,-,-,-,0.5,80,0.5,-,6.18
2387,Ado Onaiwu,Toulouse, 27, Forward,,,3(13),511,-,1,-,-,0.5,78,1.2,-,6.17
2388,Yanis Massolin,Clermont Foot, 20, Midfielder,,,0(3),39,-,-,-,-,-,79.4,0.3,-,6.17
2389,Amar Ahmed Fatah,Troyes, 18, Midfielder,,,0(1),19,-,-,-,-,-,60,-,-,6.17
2390,Alan Virginius,Lille, 20, Forward,,,1(7),175,1,-,-,-,1.1,76.9,0.1,-,6.16
2391,Marin Jakolis,Angers, 26, Forward,,,0(1),27,-,-,-,-,2,80,-,-,6.16
2392,Martin Adeline,Reims, 19, Midfielder,,,0(5),102,-,-,2,-,0.2,70,1.2,-,6.16
2393,Veljko Birmancevic,Toulouse, 24, Midfielder,,,1(11),243,-,-,-,-,0.3,69.1,0.1,-,6.16
2394,Rémy Dugimont,Auxerre, 36, Forward,,,0(10),101,-,1,1,-,0.4,67.8,0.8,-,6.16
2395,Flavius Daniliuc,Nice, 21, D(CR),,,1(1),91,-,-,-,-,-,92,0.5,-,6.15
2396,Qazim Laçi,AC Ajaccio, 27, M(C),,,2(7),207,-,-,-,-,0.4,79.9,0.4,-,6.15
2397,Lohann Doucet,Nantes, 20, Midfielder,,,0(8),72,-,-,-,-,0.1,82.4,-,-,6.15
2398,Antonin Bobichon,Angers, 27, AM(CL),,,0(3),15,-,-,-,-,0.3,66.7,-,-,6.15
2399,Axel Camblan,Brest, 19, Midfielder,,,0(6),46,-,-,-,-,0.2,80,1.2,-,6.15
2400,Duje Caleta-Car,Marseille, 26, D(C),,,0(1),7,-,-,-,-,-,100,1,-,6.14
2401,Denis Genreau,Toulouse, 23, M(C),,,0(8),88,-,-,2,-,-,45.5,0.3,-,6.14
2402,Billal Brahimi,Nice, 22, Forward,,,3(9),366,-,2,-,-,0.3,83.7,0.1,-,6.14
2403,Mohamed Achi,Nantes, 21, Midfielder,,,0(2),34,-,-,-,-,0.5,90,-,-,6.14
2404,Batista Mendy,Angers, 23, D(C),DMC,,17,1358,-,-,4,1,0.2,85,0.8,-,6.13
2405,Logan Costa,Toulouse, 21, Defender,,,0(1),45,-,-,-,-,-,90,-,-,6.13
2406,Chrislain Matsima,Lorient, 20, D(C),,,2(4),223,-,-,-,-,0.2,85,0.5,-,6.13
2407,Jean Botué,AC Ajaccio, 20, Midfielder,,,2(4),202,-,-,-,-,1.2,69.2,1.7,-,6.13
2408,Waniss Taibi,Angers, 20, Midfielder,,,1(7),142,-,-,1,-,0.1,89,0.1,-,6.12
2409,Noah Holm,Reims, 21, Forward,,,2(6),189,-,-,1,-,0.3,62.8,0.5,-,6.12
2410,Bradley Barcola,Lyon, 20, Forward,,,0(9),109,-,-,-,-,0.3,73.2,0.1,-,6.12
2411,Brandon Baiye,Clermont Foot, 22, Midfielder,,,0(7),47,-,-,-,-,-,84.4,-,-,6.11
2412,Marvin Senaya,Strasbourg, 21, Defender,,,0(1),8,-,-,-,-,-,100,1,-,6.11
2413,Kevin Spadanuda,AC Ajaccio, 26, M(L),,,6(4),464,-,-,2,-,0.3,80.4,0.1,-,6.11
2414,Tristan Dingomé,Troyes, 31, M(C),,,0(8),91,-,-,-,-,0.4,75.7,0.1,-,6.11
2415,Ilyés Chétti,Angers, 27, Defender,,,0(3),89,-,-,-,-,-,89.8,-,-,6.11
2416,Yoann Touzghar,AC Ajaccio, 36, FW,,,5(3),392,-,-,-,-,0.4,72.2,0.9,-,6.11
2417,Darline Yongwa,Lorient, 22, Defender,,,0(2),38,-,-,-,-,-,44.4,-,-,6.10
2418,Marlos Moreno,Troyes, 26, AM(LR),,,0(1),3,-,-,-,-,-,-,-,-,6.10
2419,Kader Bamba,Nantes, 28, AM(LR),,,2(3),77,-,-,-,1,0.2,87.2,0.4,-,6.09
2420,Eliot Matazo,Monaco, 20, DMC,,,5(4),447,-,-,2,-,0.1,84.6,0.3,-,6.09
2421,Ousmane Camara,Angers, 19, Defender,,,2,180,-,-,-,-,-,93.5,2.5,-,6.09
2422,Warren Zaïre-Emery,PSG, 16, Midfielder,,,1(6),124,-,-,-,-,0.1,89,0.1,-,6.09
2423,Patrick Pentz,Reims, 26, GK,,,7,630,-,-,1,-,-,63.4,-,-,6.09
2424,Hianga'a M'Bock,Brest, 23, DMC,,,0(2),15,-,-,-,-,-,88.9,0.5,-,6.09
2425,Naatan Skyttä,Toulouse, 20, Midfielder,,,0(2),21,-,-,-,-,0.5,63.6,-,-,6.09
2426,Nathanaël Mbuku,Reims, 20, AM(CLR),FW,,0(6),60,-,-,-,-,0.3,88,-,-,6.08
2427,Antoine Mendy,Nice, 18, Defender,,,0(3),11,-,-,-,-,-,60,-,-,6.07
2428,Mehdi Zeffane,Clermont Foot, 30, D(LR),M(R),,0(3),34,-,-,1,-,-,80,-,-,6.07
2429,Adil Aouchiche,Lorient, 20, AM(CL),,,0(5),70,-,-,-,-,0.4,85.7,-,-,6.06
2430,Béni Makouana,Montpellier, 20, Forward,,,1(7),194,-,-,1,-,0.8,48.4,0.4,-,6.06
2431,Ousmane Camara,Auxerre, 21, Forward,,,0(2),16,-,-,1,-,0.5,100,-,-,6.05
2432,Karamoko Dembélé,Brest, 19, Forward,,,0(10),106,-,-,-,-,0.4,67.3,-,-,6.05
2433,Julien Le Cardinal,Lens, 25, Defender,,,0(2),3,-,-,-,-,-,75,1,-,6.05
2434,Irvin Cardona,Brest, 25, AM(L),FW,,1(9),225,-,-,-,-,0.4,58.9,0.4,-,6.04
2435,Rafik Guitane,Reims, 23, AM(CR),,,0(1),2,-,-,-,-,-,-,-,-,6.04
2436,Kévin Keben,Toulouse, 18, Defender,,,3(7),298,-,-,1,-,0.1,80.9,0.2,-,6.04
2437,El Bilal Touré,Reims, 21, FW,,,1(2),91,-,-,-,-,0.3,80,1,-,6.04
2438,Jason Berthomier,Clermont Foot, 33, AM(C),,,0(2),21,-,-,-,-,-,100,-,-,6.04
2439,Christopher Wooh,Lens, 21, D(C),,,0(1),3,-,-,-,-,-,100,-,-,6.02
2440,Taïryk Arconte,Brest, 19, Forward,,,0(1),25,-,-,-,-,1,100,-,-,6.02
2441,Isaak Touré,Marseille, 19, Defender,,,0(5),66,-,-,1,-,-,84.2,0.2,-,6.02
2442,Yanis Begraoui,Toulouse, 21, Forward,,,1(2),64,-,-,-,-,-,73.7,-,-,6.02
2443,Ismaël Gharbi,PSG, 18, Midfielder,,,0(1),12,-,-,1,-,-,100,-,-,6.01
2444,Baila Diallo,Clermont Foot, 21, Defender,,,0(2),32,-,-,-,-,-,63.6,1,-,6.01
2445,Adrien Thomasson,Lens, 29, M(CLR),,,0(1),1,-,-,-,-,-,60,-,-,6.00
2446,Romain Salin,Rennes, 38, GK,,,1,1,-,-,-,1,-,-,-,-,6.00
2447,Adrian Grbic,Lorient, 26, FW,,,0(2),23,-,-,-,-,1.5,50,-,-,5.98
2448,Axel Gueguin,Montpellier, 17, Forward,,,0(2),12,-,-,-,-,-,75,-,-,5.98
2449,Ignatius Ganago,Lens, 23, AM(LR),FW,,0(4),58,-,-,-,-,0.3,90.9,0.5,-,5.98
2450,Patrick Berg,Lens, 25, M(C),,,0(3),22,-,-,-,-,-,85,-,-,5.97
2451,Kaj Sierhuis,Reims, 24, FW,,,0(1),14,-,-,-,-,-,-,-,-,5.96
2452,Halid Sabanovic,Angers, 23, Defender,,,4,260,-,-,1,1,-,79,0.8,-,5.96
2453,Adam Buksa,Lens, 26, FW,,,0(4),59,-,-,-,-,-,53.3,0.3,-,5.95
2454,Kyliane Dong,Troyes, 18, Midfielder,,,0(3),55,-,-,-,-,0.3,58.3,-,-,5.94
2455,Matthis Abline,Auxerre, 19, Forward,,,1(1),54,-,-,-,-,1,80,-,-,5.92
2456,Salim Ben Seghir,Marseille, 19, Forward,,,0(1),4,-,-,-,-,-,100,-,-,5.92
2457,Dany Jean,Strasbourg, 20, Midfielder,,,0(1),8,-,-,-,-,-,40,-,-,5.90
2458,Florian Chabrolle,AC Ajaccio, 24, Midfielder,,,1(1),103,-,-,-,-,0.5,93.1,-,-,5.79
2459,Léo Jardim,Lille, 27, GK,,,6,540,-,-,-,-,-,75.4,0.3,-,5.66
2460,Matheus Nunes,Sporting, 24, M(C),,,2,180,1,1,1,-,1,89.8,1,-,7.99
2461,Mehdi Taremi,Porto, 30, AM(L),FW,,16,1359,10,5,3,-,3,74.3,1.9,4,7.68
2462,Otávio,Porto, 27, AM(CLR),FW,,11(2),1057,3,3,-,-,1.6,81.4,0.9,1,7.67
2463,Alejandro Grimaldo,Benfica, 27, D(L),M(L),,15,1337,1,4,3,-,1,86.7,0.5,2,7.48
2464,Pote,Sporting, 24, M(CL),,,15,1320,8,3,6,-,2.7,82.5,0.1,4,7.46
2465,Willyan,Portimonense, 27, D(C),DMC,,4,360,-,-,1,-,1,76.5,4.5,-,7.41
2466,João Mário,Benfica, 30, M(CLR),,,15,1157,7,3,1,1,2.3,87.1,0.4,3,7.38
2467,Samuel,Portimonense, 28, GK,,,4,360,-,-,1,-,-,61.8,0.8,-,7.38
2468,Ricardo Horta,Braga, 28, AM(CLR),FW,,16,1408,8,5,1,-,3.3,84.1,0.2,4,7.35
2469,Yanis Hamache,Boavista, 23, D(L),M(L),,2,180,-,1,-,-,1,75.3,0.5,-,7.31
2470,Iuri Medeiros,Braga, 28, AM(CR),FW,,15,1036,5,3,4,-,2.9,84.8,0.2,2,7.27
2471,Gonçalo Ramos,Benfica, 21, AM(C),FW,,14,1063,11,1,-,1,3.6,74.6,1.7,3,7.26
2472,Galeno,Porto, 25, M(LR),,,8(8),867,7,2,2,-,2.7,78.9,1.1,2,7.26
2473,André Almeida,Vitoria de Guimaraes, 22, M(C),,,3,239,-,2,1,-,1.3,87.6,0.7,-,7.25
2474,Batxi,Chaves, 24, AM(L),,,4,329,1,1,1,-,0.8,73.7,-,-,7.25
2475,Morato,Benfica, 21, D(C),,,4,360,1,-,-,-,0.8,88.7,2,-,7.24
2476,António Silva,Benfica, 19, D(C),,,13,1168,2,-,1,-,0.9,92.1,1.9,-,7.24
2477,Rafa,Benfica, 29, AM(CLR),FW,,14,1180,6,2,6,-,2.9,79.8,0.2,2,7.21
2478,Kevin Pina,Chaves, 25, DMC,,,5,374,-,2,1,-,1.6,85.5,2,1,7.21
2479,Al Musrati,Braga, 26, DMC,,,14,1185,2,1,4,-,0.7,83.4,0.9,1,7.21
2480,Pepê Aquino,Porto, 25, D(R),M(CLR),,13(3),1224,2,4,-,-,0.9,77.8,0.7,1,7.21
2481,David Neres,Benfica, 25, AM(CLR),,,9(4),793,4,2,1,-,1.4,82.6,0.2,1,7.19
2482,João Nunes,Casa Pia AC, 27, D(C),,,9(2),849,1,-,2,-,0.4,81.5,1.8,2,7.18
2483,Nuno Sequeira,Braga, 32, D(CL),M(L),,15,1232,1,1,1,-,0.4,79.8,1.2,-,7.15
2484,Vitinha,Braga, 22, FW,,,11(5),1010,6,2,1,-,2.9,72,1.1,2,7.14
2485,Iván Marcano,Porto, 35, D(CL),,,9,783,3,-,3,-,1,90.8,2.7,1,7.13
2486,Mateus Uribe,Porto, 31, DMC,,,16,1279,1,-,3,-,1,85.7,1.8,1,7.13
2487,Enzo Fernández,Benfica, 22, DMC,,,15,1210,1,3,3,-,1.9,88.5,0.5,-,7.13
2488,Fabiano,Braga, 22, D(R),M(R),,11(1),968,-,-,5,-,0.3,78.7,0.4,1,7.12
2489,Samu,Vizela, 26, M(C),,,15(1),1332,2,3,3,-,2,78.1,1.1,2,7.12
2490,Tiago Gouveia,Estoril, 21, AM(LR),,,12,981,3,4,5,-,1.7,67.8,0.2,3,7.11
2491,Ricardo Batista,Casa Pia AC, 36, GK,,,15,1350,-,-,3,-,-,58.4,0.3,3,7.11
2492,Paulo Vítor,Chaves, 34, GK,,,16,1440,-,-,3,-,-,70.7,0.5,3,7.08
2493,Sikou Niakaté,Braga, 23, D(C),,,11(1),986,1,-,1,-,0.6,86.6,2.1,-,7.08
2494,Florentino,Benfica, 23, DMC,,,13(3),1121,-,3,3,-,0.3,89.7,1.3,-,7.06
2495,Bruno Wilson,Vizela, 26, D(C),,,11(1),1029,-,1,4,-,0.8,73.3,3.7,1,7.05
2496,Nicolás Otamendi,Benfica, 34, D(C),,,15,1350,-,-,5,1,1.1,92.3,2.5,1,7.05
2497,Iván Jaime,Famalicao, 22, AM(CL),FW,,4(2),384,3,1,1,-,2.7,80.3,0.3,-,7.04
2498,Pedro Porro,Sporting, 23, D(R),M(R),,11(2),987,1,5,4,1,2.5,74.5,0.2,1,7.03
2499,Filipe Relvas,Portimonense, 23, D(CL),,,16,1431,-,1,3,-,0.4,85.8,3.5,1,7.03
2500,Kento Misao,Santa Clara, 26, Midfielder,,,1,90,-,-,-,-,1,58.8,2,-,7.03
2501,Simon Banza,Braga, 26, FW,,,10(4),860,5,1,3,-,2.1,71.6,2,1,7.02
2502,Gabriel Batista,Santa Clara, 24, GK,,,8,720,-,-,1,-,-,57.2,0.1,-,7.00
2503,Kiki,Vizela, 28, D(L),,,13,1150,-,-,6,-,1,66.6,1.5,-,7.00
2504,Evanilson,Porto, 23, FW,,,11(2),771,6,3,1,-,1.8,78.8,1.3,1,6.99
2505,Nuno Santos,Sporting, 27, M(CLR),,,10(3),923,5,3,4,-,1.6,84.4,0.2,1,6.99
2506,Ítalo,Santa Clara, 20, Defender,,,2,180,-,-,-,-,-,70.6,1,-,6.99
2507,Marcus Edwards,Sporting, 24, AM(CLR),FW,,11(5),1002,5,4,3,-,1.4,80.8,0.1,1,6.98
2508,Kosuke Nakamura,Portimonense, 27, GK,,,12,1080,-,-,3,-,-,65.2,0.2,1,6.97
2509,Paulo Oliveira,Braga, 31, D(C),,,6(2),595,-,-,1,1,0.3,82.4,2.1,-,6.96
2510,Aderllan Santos,Rio Ave, 33, D(C),,,16,1387,1,-,2,-,0.6,88.4,2.6,2,6.96
2511,Trincão,Sporting, 23, AM(CR),,,14(2),1191,3,1,2,-,2,82.3,0.2,2,6.96
2512,Matheus,Braga, 30, GK,,,15,1344,-,-,2,1,-,76.8,0.5,1,6.96
2513,Manuel Ugarte,Sporting, 21, DMC,,,12(3),1071,-,-,6,-,0.7,90.8,0.7,-,6.95
2514,Anderson,Vizela, 27, D(C),,,15,1350,3,-,4,-,0.6,73.2,2.5,2,6.94
2515,Zé Carlos,Vitoria de Guimaraes, 21, M(R),,,8(1),698,-,2,2,-,0.3,76.9,0.4,1,6.94
2516,Manuel Lopes,Gil Vicente, 22, Defender,,,2,180,-,-,-,-,2,97.3,2.5,-,6.94
2517,Daniel Figueira,Estoril, 24, GK,,,14,1236,-,-,1,1,-,72.4,0.1,1,6.93
2518,Ivo Rodrigues,Famalicao, 27, M(LR),,,9(4),880,1,5,3,1,1.2,80.7,0.8,-,6.93
2519,Petar Musa,Benfica, 24, FW,,,2(10),396,3,1,1,-,1.8,75.5,1.4,1,6.93
2520,João Basso,Arouca, 26, D(C),,,16,1440,3,1,1,-,0.6,86.1,1.6,2,6.93
2521,Maracás,Pacos de Ferreira, 28, D(C),,,2,180,-,-,1,-,0.5,92.1,2.5,-,6.92
2522,Miguel Maga,Vitoria de Guimaraes, 20, D(R),,,6,473,-,1,2,-,0.2,80.9,0.8,1,6.91
2523,Fábio Cardoso,Porto, 28, D(C),,,10,896,1,-,3,-,0.7,92.2,2.5,-,6.91
2524,Alexander Bah,Benfica, 25, D(R),,,10(5),943,-,3,1,-,0.3,83,1.5,-,6.90
2525,Arthur Gomes,Estoril, 24, AM(CLR),,,4,280,1,1,1,-,1.5,72.3,-,-,6.90
2526,Pedro Malheiro,Boavista, 21, D(R),M(R),,15,1350,-,3,4,-,0.7,81.4,0.7,-,6.90
2527,Leonardo Lelo,Casa Pia AC, 22, M(L),,,13,1170,1,3,1,-,0.7,79.1,0.6,1,6.90
2528,Paulinho,Sporting, 30, AM(C),FW,,8(3),703,2,1,2,-,1.7,72.9,1.2,-,6.89
2529,Alexandre Penetra,Famalicao, 21, D(CR),,,12,1031,1,1,2,-,0.3,77.4,1.8,1,6.89
